index,psutil,psutil_virtual
0,345.6875,-8934.38671875
1,345.6875,-8934.38671875
2,354.6875,-8933.87109375
3,842.4375,-8442.9453125
4,844.0625,-8448.75
5,844.0625,-8448.75
6,844.0625,-8449.328125
7,696.8359375,-8449.81640625
8,679.01171875,-8473.6484375
9,679.01171875,-8472.93359375
10,680.38671875,-8472.93359375
11,680.38671875,-8472.12109375
12,883.01171875,-8315.57421875
13,883.51171875,-8309.16796875
14,883.51171875,-8309.16796875
15,883.51171875,-8309.47265625
16,711.59375,-8325.62890625
17,711.59375,-8325.75390625
18,711.59375,-8325.75390625
19,711.59375,-8325.75390625
20,711.59375,-8329.69921875
21,887.09375,-8189.734375
22,887.21875,-8204.4921875
23,887.21875,-8204.4921875
24,887.21875,-8204.6796875
25,715.40234375,-8205.0703125
26,715.40234375,-8205.44921875
27,715.40234375,-8205.44921875
28,715.40234375,-8205.44921875
29,715.40234375,-8228.5078125
30,891.65234375,-8123.33984375
31,891.77734375,-8124.01953125
32,891.77734375,-8124.01953125
33,891.77734375,-8132.04296875
34,744.609375,-8139.8125
35,726.78515625,-8140.2265625
36,726.78515625,-8140.2265625
37,726.78515625,-8140.2265625
38,726.78515625,-8140.5859375
39,891.78515625,-8274.25390625
40,891.91015625,-8274.87890625
41,891.91015625,-8274.87890625
42,891.91015625,-8539.40234375
43,744.671875,-8674.44921875
44,720.09765625,-8692.5546875
45,720.09765625,-8692.5546875
46,720.09765625,-8692.5546875
47,720.09765625,-8683.5625
48,891.84765625,-8462.96875
49,891.97265625,-8444.578125
50,891.97265625,-8444.578125
51,891.97265625,-8444.6484375
52,744.68359375,-8578.3984375
53,720.109375,-8603.5390625
54,720.109375,-8603.5390625
55,720.109375,-8603.5390625
56,720.109375,-8619.4140625
57,891.859375,-8469.11328125
58,891.984375,-8470.03125
59,891.984375,-8470.03125
60,891.984375,-8468.39453125
61,720.140625,-8609.19921875
62,720.140625,-8609.48046875
63,720.140625,-8609.48046875
64,720.140625,-8609.48046875
65,720.140625,-8610.48828125
66,892.265625,-8460.109375
67,892.515625,-8468.6484375
68,892.515625,-8468.6484375
69,892.515625,-8468.7578125
70,720.59765625,-8468.99609375
71,720.59765625,-8469.20703125
72,720.59765625,-8469.20703125
73,720.59765625,-8469.20703125
74,720.59765625,-8469.546875
75,892.34765625,-8350.1640625
76,892.47265625,-8338.31640625
77,892.47265625,-8338.31640625
78,892.47265625,-8339.2109375
79,720.66015625,-8422.99609375
80,720.66015625,-8423.54296875
81,720.66015625,-8423.54296875
82,720.66015625,-8423.54296875
83,720.66015625,-8428.76171875
84,894.41015625,-8310.15625
85,894.53515625,-8310.9921875
86,894.53515625,-8310.9921875
87,894.53515625,-8311.35546875
88,729.47265625,-8455.58984375
89,729.47265625,-8456.04296875
90,729.47265625,-8456.04296875
91,729.47265625,-8456.04296875
92,729.47265625,-8456.3046875
93,894.47265625,-8327.73828125
94,894.59765625,-8337.75390625
95,894.59765625,-8337.75390625
96,894.59765625,-8337.80078125
97,722.6875,-8482.4375
98,722.6875,-8475.3046875
99,722.6875,-8475.3046875
100,722.6875,-8475.3046875
101,722.6875,-8485.59765625
102,894.3125,-8426.58984375
103,894.4375,-8428.23046875
104,894.4375,-8428.23046875
105,894.4375,-8431.1875
106,729.3671875,-8558.3984375
107,729.3671875,-8567.36328125
108,729.3671875,-8567.39453125
109,729.3671875,-8567.39453125
110,729.3671875,-8561.0234375
111,894.4921875,-8412.32421875
112,894.6171875,-8415.26953125
113,894.6171875,-8415.26953125
114,894.6171875,-8415.64453125
115,722.70703125,-8546.04296875
116,722.70703125,-8548.4765625
117,722.70703125,-8548.4765625
118,722.70703125,-8548.4765625
119,722.70703125,-8546.12109375
120,894.45703125,-8462.890625
121,894.58203125,-8464.02734375
122,894.58203125,-8464.02734375
123,894.58203125,-8464.56640625
124,722.68359375,-8613.7265625
125,722.68359375,-8614.19140625
126,722.68359375,-8614.19140625
127,722.68359375,-8614.19140625
128,722.68359375,-8615.15234375
129,894.55859375,-8469.0703125
130,894.68359375,-8483.015625
131,894.68359375,-8483.015625
132,894.68359375,-8482.3515625
133,722.78515625,-8482.73046875
134,722.78515625,-8482.98828125
135,722.78515625,-8482.98828125
136,722.78515625,-8482.98828125
137,722.78515625,-8518.73828125
138,898.66015625,-8391.26171875
139,898.78515625,-8380.32421875
140,898.78515625,-8380.32421875
141,898.78515625,-8367.16015625
142,733.84375,-8405.76171875
143,733.84375,-8406.0703125
144,733.84375,-8406.0703125
145,733.84375,-8406.0703125
146,733.84375,-8435.7734375
147,898.71875,-8358.14453125
148,898.84375,-8361.91796875
149,898.84375,-8361.91796875
150,898.84375,-8362.21484375
151,726.9375,-8511.16796875
152,726.9375,-8511.57421875
153,726.9375,-8511.57421875
154,726.9375,-8511.57421875
155,726.9375,-8512.16796875
156,898.6875,-8388.0703125
157,898.8125,-8390.80859375
158,898.8125,-8390.80859375
159,898.8125,-8391.37890625
