index,psutil,psutil_virtual
0,345.71484375,-8568.1953125
1,345.71484375,-8568.1953125
2,354.71484375,-8567.04296875
3,842.33984375,-8220.09765625
4,844.21484375,-8222.77734375
5,844.21484375,-8222.77734375
6,844.09765625,-8221.48046875
7,356.6796875,-8575.50390625
8,356.15234375,-8572.6640625
9,356.15234375,-8572.6640625
10,356.15234375,-8572.6640625
11,356.77734375,-8566.44921875
12,843.90234375,-8111.578125
13,844.77734375,-8119.02734375
14,844.77734375,-8119.02734375
15,843.125,-8119.5390625
16,356.59765625,-8504.48828125
17,356.34375,-8504.24609375
18,356.34375,-8504.24609375
19,356.34375,-8504.24609375
20,356.84375,-8527.24609375
21,843.96875,-8131.03515625
22,844.59375,-8153.453125
23,844.59375,-8153.453125
24,843.125,-8153.7109375
25,356.5390625,-8474.5546875
26,356.26171875,-8474.80078125
27,356.26171875,-8474.80078125
28,356.26171875,-8474.80078125
29,356.88671875,-8506.24609375
30,844.13671875,-8218.28125
31,844.76171875,-8221.3984375
32,844.76171875,-8221.3984375
33,843.34765625,-8213.75390625
34,356.921875,-8483.6171875
35,356.64453125,-8483.109375
36,356.64453125,-8483.109375
37,356.64453125,-8483.109375
38,357.14453125,-8476.7890625
39,844.14453125,-8055.44140625
40,844.76953125,-8066.65234375
41,844.76953125,-8066.65234375
42,843.2109375,-8066.921875
43,356.67578125,-8507.2109375
44,356.30078125,-8507.44921875
45,356.30078125,-8507.44921875
46,356.30078125,-8507.44921875
47,356.92578125,-8507.91015625
48,843.92578125,-8061.2578125
49,844.67578125,-8055.6640625
50,844.67578125,-8055.6640625
51,843.18359375,-8056.05859375
52,356.6171875,-8204.16796875
53,356.3125,-8205.19921875
54,356.3125,-8205.19921875
55,356.3125,-8205.19921875
56,357.0625,-8206.01953125
57,844.1875,-8363.859375
58,844.8125,-8353.99609375
59,844.8125,-8353.99609375
60,843.2578125,-8169.25
61,356.6953125,-8341.734375
62,356.56640625,-8333.1015625
63,356.56640625,-8333.1015625
64,356.56640625,-8333.1015625
65,357.06640625,-8348.40234375
66,844.19140625,-7878.29296875
67,844.81640625,-7895.16015625
68,844.81640625,-7895.16015625
69,843.30859375,-7895.3046875
70,356.79296875,-8035.2109375
71,356.54296875,-8035.77734375
72,356.54296875,-8035.77734375
73,356.54296875,-8035.77734375
74,357.04296875,-8036.40234375
75,844.16796875,-7853.21875
76,844.79296875,-7853.921875
77,844.79296875,-7853.921875
78,843.3359375,-7854.09765625
79,356.796875,-8145.28515625
80,356.51953125,-8145.89453125
81,356.51953125,-8145.89453125
82,356.51953125,-8145.89453125
83,357.14453125,-8155.79296875
84,844.51953125,-7964.29296875
85,845.14453125,-7974.25390625
86,845.14453125,-7974.25390625
87,843.73828125,-7974.59765625
88,357.2109375,-8390.2421875
89,356.88671875,-8430.0546875
90,356.88671875,-8430.0546875
91,356.88671875,-8430.0546875
92,357.51171875,-8422.52734375
93,844.26171875,-7936.2265625
94,844.88671875,-7922.73828125
95,844.88671875,-7922.73828125
96,843.41015625,-7923.55078125
97,357.015625,-8089.28125
98,356.7421875,-8089.84375
99,356.7421875,-8089.84375
100,356.7421875,-8089.84765625
101,357.2421875,-8092.5390625
102,844.1171875,-7802.9453125
103,844.7421875,-7807.921875
104,844.7421875,-7807.921875
105,843.29296875,-7869.53515625
106,356.7265625,-8003.70703125
107,356.47265625,-8004.22265625
108,356.47265625,-8004.22265625
109,356.47265625,-8004.22265625
110,357.09765625,-8026.0078125
111,844.09765625,-7918.28515625
112,844.84765625,-7933.8046875
113,844.84765625,-7933.8046875
114,843.32421875,-7943.1328125
115,356.75390625,-8082.23828125
116,356.48828125,-8082.46875
117,356.48828125,-8082.46875
118,356.48828125,-8082.46875
119,357.23828125,-8081.3203125
120,844.36328125,-7778.109375
121,844.98828125,-7787.9609375
122,844.98828125,-7787.9609375
123,843.5078125,-7785.4921875
124,356.96875,-8109.44921875
125,356.66796875,-8111.140625
126,356.66796875,-8111.140625
127,356.66796875,-8111.140625
128,357.29296875,-8128.34765625
129,844.41796875,-7691.37109375
130,845.04296875,-7715.2734375
131,845.04296875,-7715.2734375
132,843.53515625,-7652.16015625
133,357.03125,-8134.2109375
134,356.78125,-8134.859375
135,356.78125,-8134.859375
136,356.78125,-8134.859375
137,357.40625,-8160.66796875
138,844.40625,-7829.92578125
139,845.15625,-7815.09375
