index,psutil,psutil_virtual
0,345.96484375,-6206.015625
1,345.96484375,-6206.015625
2,354.83984375,-6218.74609375
3,842.46484375,-5761.15234375
4,844.08984375,-5760.90625
5,844.08984375,-5760.90625
6,842.75390625,-5776.41015625
7,356.24609375,-6164.68359375
8,355.796875,-6162.21875
9,355.796875,-6162.21875
10,357.171875,-6160.25
11,357.796875,-6160.03515625
12,844.921875,-5794.33984375
13,845.796875,-5706.39453125
14,845.796875,-5706.39453125
15,843.26953125,-5706.39453125
16,356.7578125,-6095.34765625
17,356.3671875,-6095.11328125
18,356.3671875,-6095.11328125
19,356.3671875,-6095.11328125
20,356.9921875,-6094.61328125
21,843.9921875,-5806.57421875
22,844.6171875,-5806.11328125
23,844.6171875,-5806.11328125
24,843.1484375,-5806.11328125
25,356.625,-6294.90234375
26,356.375,-6294.86328125
27,356.375,-6294.86328125
28,356.375,-6294.86328125
29,357.125,-6287.48046875
30,844.125,-5839.39453125
31,844.75,-5829.59375
32,844.75,-5829.59375
33,843.3359375,-5829.59375
34,356.83203125,-5996.703125
35,356.5625,-5996.72265625
36,356.5625,-5996.72265625
37,356.5625,-5996.72265625
38,357.1875,-5996.72265625
39,844.1875,-5620.22265625
40,844.8125,-5633.69921875
41,844.8125,-5633.69921875
42,843.2421875,-5634.80078125
43,356.77734375,-6120.2109375
44,356.390625,-6120.140625
45,356.390625,-6120.140625
46,356.390625,-6120.140625
47,357.015625,-6119.89453125
48,844.015625,-5637.4921875
49,844.640625,-5635.08984375
50,844.640625,-5635.08984375
51,843.1640625,-5635.6640625
52,356.5859375,-6127.0859375
53,356.265625,-6127.0859375
54,356.265625,-6126.83984375
55,356.265625,-6126.83984375
56,356.890625,-6126.47265625
57,844.140625,-5669.7578125
58,844.765625,-5682.9453125
59,844.765625,-5681.9609375
60,843.25,-5678.26953125
61,356.75390625,-5960.04296875
62,356.48046875,-5960.01953125
63,356.48046875,-5960.01953125
64,356.48046875,-5960.01953125
65,357.10546875,-5959.2890625
66,843.98046875,-5505.46875
67,844.73046875,-5512.9375
68,844.73046875,-5512.9375
69,843.16015625,-5512.9375
70,356.62109375,-5977.96484375
71,356.3671875,-5978.31640625
72,356.3671875,-5978.31640625
73,356.3671875,-5978.31640625
74,356.8671875,-5970.44140625
75,844.1171875,-5524.2109375
76,844.7421875,-5527.06640625
77,844.7421875,-5527.06640625
78,843.1484375,-5544.90625
79,356.6796875,-6011.35546875
80,356.4140625,-6011.27734375
81,356.4140625,-6011.27734375
82,356.4140625,-6011.27734375
83,356.9140625,-6014.921875
84,844.2890625,-5765.140625
85,844.9140625,-5776.71875
86,844.9140625,-5776.71875
87,843.34765625,-5775.98046875
88,356.8671875,-6155.73828125
89,356.4765625,-6154.1953125
90,356.4765625,-6154.1953125
91,356.4765625,-6154.1953125
92,357.1015625,-6176.44921875
93,844.3515625,-5747.890625
94,844.9765625,-5756.375
95,844.9765625,-5756.375
96,843.48828125,-5758.30078125
97,357.02734375,-6231.08984375
98,356.60546875,-6241.94921875
99,356.60546875,-6241.94921875
100,356.60546875,-6241.94921875
101,357.23046875,-6241.953125
102,844.48046875,-5731.9453125
103,844.98046875,-5739.12109375
104,844.98046875,-5739.12109375
105,843.5546875,-5740.015625
106,356.99609375,-6230.76953125
107,356.69140625,-6230.52734375
108,356.69140625,-6230.52734375
109,356.69140625,-6230.52734375
110,357.31640625,-6230.28125
111,844.31640625,-5857.11328125
112,844.94140625,-5856.8671875
113,844.94140625,-5856.8671875
114,843.5078125,-5856.8671875
115,357.03515625,-6066.15234375
116,356.75390625,-6066.296875
117,356.75390625,-6066.296875
118,356.75390625,-6066.296875
119,357.37890625,-6069.75
120,844.37890625,-5638.86328125
121,845.00390625,-5646.21484375
122,845.00390625,-5646.21484375
123,843.515625,-5646.21484375
124,356.9453125,-6004.08203125
125,356.6328125,-6004.08984375
126,356.6328125,-6004.08984375
127,356.6328125,-6004.08984375
128,357.2578125,-6003.11328125
129,844.3828125,-5772.390625
130,845.0078125,-5772.14453125
131,845.0078125,-5772.14453125
132,843.50390625,-5772.1484375
133,357.0546875,-5934.31640625
134,356.80078125,-5946.15234375
135,356.80078125,-5946.15234375
136,356.80078125,-5946.15234375
137,357.42578125,-5984.47265625
138,844.42578125,-5710.5078125
139,845.05078125,-5712.2890625
140,845.05078125,-5712.2890625
141,843.44140625,-5712.2890625
142,356.875,-6043.0703125
143,356.609375,-6051.7578125
144,356.609375,-6051.7578125
145,356.609375,-6051.7578125
146,357.234375,-6051.5234375
147,844.609375,-5695.62890625
148,845.234375,-5714.84765625
149,845.234375,-5714.84765625
150,843.703125,-5714.859375
151,357.1875,-5985.3671875
152,356.87890625,-5985.43359375
153,356.87890625,-5985.43359375
154,356.87890625,-5985.43359375
155,357.37890625,-5985.19921875
156,844.50390625,-5633.52734375
157,845.12890625,-5636.734375
158,845.12890625,-5636.734375
159,843.55859375,-5636.828125
160,357.03515625,-6120.25
161,356.73828125,-6128.93359375
162,356.73828125,-6128.93359375
163,356.73828125,-6128.93359375
164,357.36328125,-6130.45703125
165,844.36328125,-5790.3671875
166,845.11328125,-5789.61328125
167,845.11328125,-5789.61328125
168,843.62109375,-5789.61328125
169,357.08203125,-6188.6015625
170,356.80859375,-6190.0625
171,356.80859375,-6190.0625
172,356.80859375,-6190.0625
173,357.30859375,-6190.0625
174,844.55859375,-5708.98046875
175,845.30859375,-5716.85546875
176,845.30859375,-5716.85546875
177,843.84375,-5716.85546875
178,357.42578125,-6024.9296875
179,357.01953125,-6025.34765625
180,357.01953125,-6025.34765625
181,357.01953125,-6025.34765625
182,357.64453125,-6012.09765625
183,844.76953125,-5614.21875
184,845.39453125,-5625.65234375
185,845.39453125,-5625.65234375
186,843.859375,-5625.70703125
187,357.45703125,-5840.9921875
188,357.046875,-5842.12890625
189,357.046875,-5842.12890625
190,357.046875,-5842.12890625
191,357.546875,-5842.3359375
192,844.921875,-5636.62890625
193,845.546875,-5636.875
194,845.546875,-5636.875
195,844.00390625,-5636.875
196,357.56640625,-6034.48828125
197,357.17578125,-6034.88671875
198,357.17578125,-6034.88671875
199,357.17578125,-6034.88671875
200,357.67578125,-6034.64453125
201,844.67578125,-5772.984375
202,845.30078125,-5772.5078125
203,845.30078125,-5772.5078125
204,843.7734375,-5772.5078125
205,357.35546875,-6166.52734375
206,356.9375,-6166.52734375
207,356.9375,-6166.52734375
208,356.9375,-6166.52734375
209,357.5625,-6174.296875
210,844.6875,-5817.46484375
211,845.3125,-5824.890625
212,845.3125,-5824.890625
213,843.84375,-5808.640625
214,357.42578125,-6068.76953125
215,357.046875,-6068.70703125
216,357.046875,-6068.70703125
217,357.046875,-6068.70703125
218,357.546875,-6068.7109375
219,844.796875,-5703.32421875
220,845.421875,-5703.35546875
221,845.421875,-5703.35546875
222,843.87109375,-5703.13671875
223,357.33203125,-6098.078125
224,357.046875,-6098.2734375
225,357.046875,-6098.2734375
226,357.046875,-6098.2734375
227,357.546875,-6107.12109375
228,844.796875,-5773.23046875
229,845.546875,-5772.51953125
230,845.546875,-5772.51953125
231,843.9296875,-5772.7578125
232,357.390625,-6171.69140625
233,357.13671875,-6179.73828125
234,357.13671875,-6179.73828125
235,357.13671875,-6179.73828125
236,357.63671875,-6179.73828125
237,845.01171875,-5814.578125
238,845.63671875,-5808.609375
239,845.63671875,-5808.609375
240,844.12890625,-5804.91796875
241,357.58984375,-5945.5625
242,357.296875,-5949.2578125
243,357.296875,-5949.2578125
244,357.296875,-5949.2578125
245,357.921875,-5938.5234375
246,844.796875,-5544.1640625
247,845.421875,-5546.1484375
248,845.421875,-5546.1484375
249,843.94140625,-5545.89453125
250,357.421875,-6033.96484375
251,357.16796875,-6034.14453125
252,357.16796875,-6034.14453125
253,357.16796875,-6034.14453125
254,357.66796875,-6034.59765625
255,844.66796875,-5635.30859375
256,845.29296875,-5636.54296875
257,845.29296875,-5636.54296875
258,843.77734375,-5636.54296875
259,357.23046875,-5944.2265625
260,356.9765625,-5944.44921875
261,356.9765625,-5944.44921875
262,356.9765625,-5944.44921875
263,357.4765625,-5944.20703125
264,844.7265625,-5705.25
265,845.4765625,-5709.6953125
266,845.4765625,-5709.6953125
267,843.8984375,-5709.453125
268,357.5,-6119.546875
269,357.24609375,-6119.6484375
