index,psutil,psutil_virtual
0,345.80859375,-8679.26171875
1,345.80859375,-8679.26171875
2,354.43359375,-8678.52734375
3,842.30859375,-8194.2578125
4,843.93359375,-8194.29296875
5,843.93359375,-8194.29296875
6,843.93359375,-8194.29296875
7,671.16796875,-8228.140625
8,549.26171875,-8379.66015625
9,549.26171875,-8379.66015625
10,549.26171875,-8379.66015625
11,530.390625,-8410.64453125
12,864.140625,-8163.7734375
13,864.390625,-8157.6328125
14,864.390625,-8157.6328125
15,864.390625,-8161.39453125
16,717.078125,-8158.6875
17,530.58203125,-8190.1328125
18,530.58203125,-8190.1328125
19,530.58203125,-8190.1328125
20,530.70703125,-8193.328125
21,864.33203125,-7982.11328125
22,864.45703125,-7981.89453125
23,864.45703125,-7981.89453125
24,864.45703125,-7981.91796875
25,670.13671875,-8044.08203125
26,530.6328125,-8198.38671875
27,530.6328125,-8198.38671875
28,530.6328125,-8198.38671875
29,530.6328125,-8198.9609375
30,864.5078125,-8019.55859375
31,864.6328125,-8027.43359375
32,864.6328125,-8027.43359375
33,864.6328125,-8027.4375
34,670.17578125,-8158.32421875
35,530.671875,-8298.8125
36,530.671875,-8298.8125
37,530.671875,-8298.8125
38,530.671875,-8298.828125
39,864.421875,-8163.484375
40,864.546875,-8163.484375
41,864.546875,-8163.484375
42,864.546875,-8163.484375
43,717.2109375,-8236.53125
44,530.58203125,-8420.97265625
45,530.58203125,-8420.97265625
46,530.58203125,-8420.97265625
47,530.58203125,-8426.40234375
48,864.45703125,-8156.69140625
49,864.58203125,-8164.10546875
50,864.58203125,-8164.10546875
51,864.58203125,-8163.86328125
52,681.4609375,-8272.5078125
53,530.70703125,-8426.07421875
54,530.70703125,-8426.07421875
55,530.70703125,-8426.07421875
56,530.83203125,-8425.828125
57,864.20703125,-8133.734375
58,864.33203125,-8131.765625
59,864.33203125,-8131.765625
60,864.33203125,-8131.51953125
61,696.96875,-8210.5078125
62,530.46484375,-8380.1328125
63,530.46484375,-8380.1328125
64,530.46484375,-8380.1328125
65,530.58984375,-8385.875
66,864.33984375,-8152.15625
67,864.46484375,-8159.609375
68,864.46484375,-8159.609375
69,864.46484375,-8159.6171875
70,717.1875,-8159.6171875
71,530.55859375,-8246.2421875
72,530.55859375,-8246.2421875
73,530.55859375,-8246.2421875
74,530.55859375,-8246.2421875
75,864.30859375,-8014.66796875
76,864.55859375,-8010.73046875
77,864.55859375,-8010.73046875
78,864.55859375,-7995.96484375
79,699.328125,-8110.0703125
80,530.57421875,-8279.171875
81,530.57421875,-8279.171875
82,530.57421875,-8279.171875
83,530.57421875,-8279.40234375
84,864.44921875,-8037.00390625
85,864.57421875,-8037.015625
86,864.57421875,-8037.015625
87,864.57421875,-8037.0234375
88,717.2421875,-8115.7734375
89,530.71484375,-8209.35546875
90,530.71484375,-8209.35546875
91,530.71484375,-8209.35546875
92,530.71484375,-8209.35546875
93,864.33984375,-7989.2890625
94,864.58984375,-7991.04296875
95,864.58984375,-7991.04296875
96,864.58984375,-7991.04296875
97,697.12109375,-8101.11328125
98,530.6171875,-8264.83984375
99,530.6171875,-8264.83984375
100,530.6171875,-8264.84375
101,530.7421875,-8280.609375
102,864.3671875,-8025.1640625
103,864.4921875,-8020.5234375
104,864.4921875,-8020.5234375
105,864.4921875,-8020.5234375
106,699.37890625,-8036.34375
107,530.625,-8210.94921875
108,530.625,-8210.94921875
109,530.625,-8210.94921875
110,530.625,-8193.72265625
111,864.375,-7970.984375
112,864.625,-7976.08203125
113,864.625,-7976.08203125
114,864.625,-7976.08203125
115,690.6015625,-8156.87109375
116,530.84765625,-8313.7265625
117,530.84765625,-8313.7265625
118,530.84765625,-8313.7265625
119,530.97265625,-8321.6015625
120,864.47265625,-8078.71875
121,864.59765625,-8078.7109375
122,864.59765625,-8078.7109375
123,864.59765625,-8078.7109375
124,717.25390625,-8078.7109375
125,530.625,-8133.8359375
126,530.625,-8133.8359375
127,530.625,-8133.8359375
128,530.75,-8133.83984375
129,864.625,-7926.0625
130,864.75,-7731.00390625
131,864.75,-7731.00390625
132,864.75,-7723.19921875
133,717.50390625,-7872.99609375
134,530.98046875,-7971.6875
135,530.98046875,-7971.6875
136,530.98046875,-7971.6875
137,531.10546875,-7964.3046875
138,864.85546875,-7795.76953125
139,864.98046875,-7778.90625
140,864.98046875,-7778.90625
141,864.98046875,-7778.9140625
142,670.5390625,-7826.078125
143,546.78515625,-7954.5859375
144,546.78515625,-7954.5859375
145,546.78515625,-7954.5859375
146,531.15234375,-7954.1640625
147,864.90234375,-7708.26171875
148,865.02734375,-7708.80078125
149,865.02734375,-7708.80078125
150,865.02734375,-7708.61328125
151,717.88671875,-7708.62890625
152,531.375,-7763.6640625
153,531.375,-7763.6640625
154,531.375,-7763.6640625
155,531.375,-7780.765625
156,865.0,-7615.14453125
157,865.125,-7659.7890625
158,865.125,-7659.7890625
159,865.125,-7659.7890625
160,697.73046875,-7716.66796875
161,531.2265625,-7879.5703125
162,531.2265625,-7879.5703125
163,531.2265625,-7879.5703125
164,531.2265625,-7879.5703125
165,864.8515625,-7804.98828125
166,864.9765625,-7801.7265625
167,864.9765625,-7801.7265625
168,864.9765625,-7788.6328125
169,717.69921875,-7874.50390625
170,531.0703125,-8061.5546875
171,531.0703125,-8061.5546875
172,531.0703125,-8061.5546875
