index,psutil,psutil_virtual
0,345.953125,-8861.33984375
1,345.953125,-8861.33984375
2,354.703125,-8839.8203125
3,853.203125,-8320.4140625
4,854.828125,-8332.0703125
5,854.828125,-8332.0703125
6,854.828125,-8332.3046875
7,708.84765625,-8347.80078125
8,708.84765625,-8402.30859375
9,708.84765625,-8402.30859375
10,708.84765625,-8402.30859375
11,488.109375,-8709.421875
12,860.109375,-8342.05859375
13,860.359375,-8351.15625
14,860.359375,-8351.15625
15,860.359375,-8351.05859375
16,677.2109375,-8347.3359375
17,488.22265625,-8545.76953125
18,488.22265625,-8545.76953125
19,488.22265625,-8545.76953125
20,488.22265625,-8545.48828125
21,860.22265625,-8187.28515625
22,860.47265625,-8159.640625
23,860.47265625,-8159.3984375
24,860.47265625,-8149.55078125
25,713.1171875,-8173.2578125
26,713.1171875,-8173.71484375
27,713.1171875,-8173.71484375
28,713.1171875,-8173.71484375
29,488.359375,-8365.375
30,860.484375,-8108.34765625
31,860.609375,-8129.51171875
32,860.609375,-8129.51171875
33,860.609375,-8130.18359375
34,677.43359375,-8293.1328125
35,488.44921875,-8324.84375
36,488.44921875,-8324.84375
37,488.44921875,-8324.84375
38,488.44921875,-8324.61328125
39,860.07421875,-8099.15234375
40,860.19921875,-8101.84375
41,860.19921875,-8101.84375
42,860.19921875,-8102.1171875
43,686.06640625,-8125.76171875
44,488.06640625,-8320.07421875
45,488.06640625,-8320.07421875
46,488.06640625,-8320.07421875
47,488.19140625,-8344.46484375
48,860.19140625,-8074.98828125
49,860.44140625,-8092.640625
50,860.44140625,-8092.640625
51,860.44140625,-8086.64453125
52,668.421875,-8281.94140625
53,488.421875,-8463.7421875
54,488.421875,-8463.7421875
55,488.421875,-8463.7421875
56,488.546875,-8449.828125
57,860.171875,-8268.31640625
58,860.296875,-8270.8125
59,860.296875,-8270.8125
60,860.296875,-8271.12109375
61,695.2734375,-8271.51171875
62,488.2734375,-8467.7421875
63,488.2734375,-8467.7421875
64,488.2734375,-8467.7421875
65,488.3984375,-8468.35546875
66,860.2734375,-8157.5
67,860.3984375,-8165.9921875
68,860.3984375,-8165.9921875
69,860.3984375,-8166.19140625
70,693.03515625,-8283.4375
71,488.28515625,-8497.4609375
72,488.28515625,-8497.4609375
73,488.28515625,-8497.4609375
74,488.28515625,-8493.359375
75,860.28515625,-8219.4765625
