index,psutil,psutil_virtual
0,345.85546875,-8677.66015625
1,345.85546875,-8677.66015625
2,354.73046875,-8672.54296875
3,842.23046875,-8161.7265625
4,843.98046875,-8165.75
5,843.98046875,-8165.75
6,843.98046875,-8173.625
7,648.59765625,-8349.6796875
8,648.59765625,-8350.22265625
9,648.59765625,-8350.22265625
10,648.59765625,-8350.22265625
11,639.65234375,-8368.546875
12,877.65234375,-8172.33203125
13,878.15234375,-8174.7734375
14,878.15234375,-8174.7734375
15,878.15234375,-8169.7578125
16,672.4921875,-8313.2578125
17,672.4921875,-8312.9765625
18,672.4921875,-8312.9765625
19,672.4921875,-8312.9765625
20,672.6171875,-8312.98046875
21,878.2421875,-8102.25390625
22,878.3671875,-8104.92578125
23,878.3671875,-8104.92578125
24,878.3671875,-8104.83203125
25,672.73828125,-8225.39453125
26,672.73828125,-8225.32421875
27,672.73828125,-8225.32421875
28,672.73828125,-8225.32421875
29,672.73828125,-8232.7578125
30,878.23828125,-8025.25390625
31,878.48828125,-8043.6796875
32,878.48828125,-8043.6796875
33,878.48828125,-8039.69921875
34,672.87890625,-8250.71875
35,672.87890625,-8258.64453125
36,672.87890625,-8258.64453125
37,672.87890625,-8258.64453125
38,672.87890625,-8258.00390625
39,878.62890625,-8089.3671875
40,878.75,-8087.74609375
41,878.75,-8087.74609375
42,878.75,-8083.8828125
43,673.08203125,-8239.15234375
44,673.08203125,-8238.91015625
45,673.08203125,-8238.91015625
46,673.08203125,-8238.91015625
47,673.08203125,-8236.47265625
48,878.33203125,-8075.79296875
49,878.45703125,-8088.33203125
50,878.45703125,-8088.33203125
51,878.45703125,-8087.88671875
52,731.20703125,-8205.9453125
53,672.83203125,-8272.71484375
54,672.83203125,-8272.71484375
55,672.83203125,-8272.71484375
56,672.83203125,-8272.0390625
57,878.45703125,-8099.05078125
58,878.58203125,-8115.48828125
59,878.58203125,-8115.48828125
60,878.58203125,-8115.26953125
61,672.92578125,-8138.90234375
62,672.92578125,-8138.72265625
63,672.92578125,-8138.72265625
64,672.92578125,-8138.72265625
65,672.92578125,-8173.78515625
66,882.92578125,-8043.21875
67,883.05078125,-8044.6640625
68,883.05078125,-8044.6640625
69,883.05078125,-8042.66796875
70,717.9296875,-8214.11328125
71,675.1796875,-8256.98828125
72,675.1796875,-8256.98828125
73,675.1796875,-8256.98828125
74,675.1796875,-8240.50390625
75,883.0546875,-8045.984375
76,883.1796875,-8064.7734375
77,883.1796875,-8064.7734375
78,883.1796875,-8070.609375
79,675.25,-8198.38671875
80,675.25,-8197.59765625
81,675.25,-8197.59765625
82,675.25,-8197.59765625
83,675.25,-8205.48046875
84,882.875,-8041.39453125
85,883.125,-8101.1640625
86,883.125,-8101.1640625
87,883.125,-8100.91796875
88,675.23828125,-8302.1875
89,675.23828125,-8301.94140625
90,675.23828125,-8301.94140625
