index,psutil,psutil_virtual
0,346.03515625,-8664.8671875
1,346.03515625,-8664.8671875
2,354.78515625,-8667.1640625
3,841.53125,-8158.5078125
4,843.28125,-8172.2109375
5,843.28125,-8172.2109375
6,843.28125,-8172.2109375
7,358.13671875,-8544.86328125
8,358.13671875,-8545.28515625
9,358.13671875,-8545.28515625
10,358.13671875,-8545.28515625
11,358.13671875,-8537.26953125
12,844.51953125,-8176.5859375
13,844.76953125,-8078.6953125
14,844.76953125,-8078.6953125
15,844.76953125,-8078.6953125
16,358.37890625,-8246.9375
17,358.37890625,-8246.94140625
18,358.37890625,-8246.94140625
19,358.37890625,-8246.94140625
20,358.37890625,-8257.67578125
21,844.63671875,-7971.109375
22,844.76171875,-7967.14453125
23,844.76171875,-7967.14453125
24,844.76171875,-7967.14453125
25,358.19921875,-8345.0390625
26,358.19921875,-8362.8515625
27,358.19921875,-8362.8515625
28,358.19921875,-8362.8515625
29,358.32421875,-8362.76953125
30,844.32421875,-7915.0546875
31,844.69921875,-7915.0625
32,844.69921875,-7915.0625
33,844.69921875,-7915.06640625
34,358.109375,-8125.2265625
35,358.109375,-8125.42578125
36,358.109375,-8125.42578125
37,358.109375,-8125.42578125
38,358.109375,-8124.44921875
39,844.3671875,-7791.05859375
40,844.4921875,-7767.07421875
41,844.4921875,-7767.07421875
42,844.4921875,-7762.609375
43,358.07421875,-8175.10546875
44,358.07421875,-8190.609375
45,358.07421875,-8190.609375
46,358.07421875,-8190.609375
47,358.19921875,-8190.609375
48,844.68359375,-7715.89453125
49,844.80859375,-7723.77734375
50,844.80859375,-7723.77734375
51,844.80859375,-7731.6640625
52,358.3828125,-8068.48828125
53,358.3828125,-8068.51171875
54,358.3828125,-8068.51171875
55,358.3828125,-8068.51171875
56,358.2578125,-8068.51171875
57,844.62890625,-7776.47265625
58,844.75390625,-7778.234375
59,844.75390625,-7778.2578125
60,844.75390625,-7786.14453125
61,358.1953125,-8227.04296875
62,358.1953125,-8244.546875
63,358.1953125,-8244.546875
64,358.1953125,-8244.30078125
65,358.1953125,-8246.03515625
66,844.703125,-7801.35546875
67,844.828125,-7802.09375
68,844.828125,-7802.09375
69,844.828125,-7803.8671875
70,358.26953125,-8278.1875
71,358.26953125,-8278.3359375
72,358.26953125,-8278.3359375
73,358.26953125,-8278.3359375
74,358.26953125,-8278.359375
75,844.64453125,-7942.6875
76,844.76953125,-7944.69140625
77,844.76953125,-7944.69140625
78,844.76953125,-7941.0625
79,358.21875,-8048.07421875
80,358.21875,-8056.125
81,358.21875,-8056.125
82,358.21875,-8056.125
83,358.21875,-8055.39453125
84,844.8515625,-7723.66015625
85,844.9765625,-7731.53515625
86,844.9765625,-7731.53515625
87,844.9765625,-7731.53515625
88,358.4140625,-8149.859375
89,358.4140625,-8150.19921875
90,358.4140625,-8150.19921875
91,358.4140625,-8150.19921875
92,358.5390625,-8158.07421875
93,844.80078125,-7804.9375
94,844.92578125,-7803.7421875
95,844.92578125,-7803.7421875
96,844.92578125,-7805.75
97,358.3671875,-8311.23046875
98,358.3671875,-8311.25390625
99,358.3671875,-8311.25390625
100,358.3671875,-8311.2578125
101,358.3671875,-8310.59375
102,844.82421875,-7908.12890625
103,844.94921875,-7908.328125
104,844.94921875,-7908.328125
105,844.94921875,-7908.38671875
106,358.37890625,-8051.35546875
107,358.37890625,-8051.62890625
108,358.37890625,-8051.62890625
109,358.37890625,-8051.62890625
110,358.37890625,-8068.953125
111,845.01171875,-7822.03515625
112,845.13671875,-7821.8125
113,845.13671875,-7821.8125
114,845.13671875,-7819.078125
115,358.578125,-8235.9765625
116,358.578125,-8236.14453125
117,358.578125,-8236.14453125
118,358.578125,-8236.14453125
119,358.578125,-8235.8984375
120,844.9609375,-7999.1015625
121,845.0859375,-7998.85546875
122,845.0859375,-7998.85546875
123,845.0859375,-7998.85546875
124,358.51171875,-8408.34765625
125,358.51171875,-8404.80078125
126,358.51171875,-8404.80078125
127,358.51171875,-8404.80078125
128,358.51171875,-8406.28515625
129,845.01953125,-8010.4296875
130,845.26953125,-8010.19140625
131,845.26953125,-8010.19140625
132,845.26953125,-8010.1953125
133,358.69921875,-8409.94140625
134,358.69921875,-8410.12109375
135,358.69921875,-8410.12109375
136,358.69921875,-8410.12109375
137,358.69921875,-8409.875
138,845.0078125,-7974.828125
139,845.1328125,-7974.828125
140,845.1328125,-7974.828125
141,845.1328125,-7974.828125
142,358.55078125,-8158.75390625
143,358.55078125,-8158.921875
144,358.55078125,-8158.921875
145,358.55078125,-8158.921875
146,358.67578125,-8174.49609375
147,845.0,-7696.69140625
148,845.125,-7712.40234375
149,845.125,-7712.40234375
150,845.125,-7712.40625
151,358.5625,-7995.890625
152,358.5625,-7995.890625
153,358.5625,-7995.890625
154,358.5625,-7995.890625
155,358.5625,-7996.20703125
156,845.17578125,-7689.1328125
157,845.42578125,-7689.06640625
158,845.42578125,-7689.06640625
159,845.42578125,-7688.82421875
160,358.8359375,-7934.62890625
161,358.8359375,-7934.734375
162,358.8359375,-7934.734375
163,358.8359375,-7934.734375
164,358.9609375,-7957.69921875
165,845.19921875,-7800.4609375
166,845.32421875,-7808.125
167,845.32421875,-7808.125
168,845.32421875,-7808.1328125
169,358.7734375,-7935.34765625
170,358.7734375,-7935.484375
171,358.7734375,-7935.484375
172,358.7734375,-7935.484375
173,358.7734375,-7936.1328125
174,845.0234375,-7750.9375
175,845.2734375,-7758.84375
176,845.2734375,-7758.84375
177,845.2734375,-7766.71875
178,358.68359375,-8183.375
179,358.68359375,-8185.140625
180,358.68359375,-8185.140625
181,358.68359375,-8185.140625
182,358.68359375,-8185.14453125
183,845.21484375,-7835.6015625
184,845.33984375,-7827.94140625
185,845.33984375,-7827.94140625
186,845.33984375,-7812.4375
187,358.8203125,-7998.97265625
188,358.8203125,-7999.09375
189,358.8203125,-7999.09375
190,358.8203125,-7999.09375
191,358.8203125,-8053.48046875
192,845.203125,-7807.140625
193,845.328125,-7806.90234375
194,845.328125,-7806.90234375
195,845.328125,-7806.90234375
196,358.91015625,-8221.98046875
197,358.91015625,-8153.21875
198,358.91015625,-8153.21875
199,358.91015625,-8153.21875
200,359.03515625,-8176.6015625
201,845.4921875,-7876.8515625
202,845.6171875,-7890.203125
203,845.6171875,-7890.203125
204,845.6171875,-7889.9921875
205,359.14453125,-8234.74609375
206,359.14453125,-8234.8203125
207,359.14453125,-8234.8203125
208,359.14453125,-8234.8203125
209,359.14453125,-8227.19140625
210,845.40234375,-7998.69921875
211,845.52734375,-7981.92578125
212,845.52734375,-7981.92578125
213,845.52734375,-7981.92578125
214,358.94921875,-8159.546875
215,358.94921875,-8167.6015625
216,358.94921875,-8167.6015625
217,358.94921875,-8167.6015625
218,358.94921875,-8167.11328125
219,844.95703125,-7925.40234375
220,845.08203125,-7925.40234375
221,845.08203125,-7925.40234375
222,845.08203125,-7925.40234375
223,358.671875,-8185.63671875
224,358.671875,-8185.63671875
225,358.671875,-8185.63671875
226,358.671875,-8185.63671875
227,358.796875,-8169.6796875
228,845.18359375,-7863.76171875
229,845.43359375,-7871.91015625
230,845.43359375,-7871.91015625
231,845.43359375,-7871.9140625
232,358.8515625,-8201.45703125
233,358.8515625,-8201.70703125
234,358.8515625,-8201.70703125
235,358.8515625,-8201.70703125
236,358.9765625,-8204.9140625
237,845.20703125,-7903.53125
238,845.33203125,-7900.0859375
239,845.33203125,-7900.0859375
240,845.33203125,-7893.9453125
241,358.9609375,-8190.484375
242,358.9609375,-8190.5546875
243,358.9609375,-8190.5546875
244,358.9609375,-8190.5546875
245,358.9609375,-8190.5625
246,845.234375,-7808.609375
247,845.359375,-7808.62890625
248,845.359375,-7808.62890625
