index,psutil,psutil_virtual
0,345.74609375,-6036.09765625
1,345.74609375,-6036.09765625
2,354.49609375,-6025.05859375
3,842.24609375,-5561.03515625
4,843.87109375,-5561.21484375
5,843.87109375,-5561.21484375
6,843.87109375,-5578.83984375
7,698.015625,-5730.54296875
8,698.015625,-5730.54296875
9,698.015625,-5730.54296875
10,698.015625,-5730.54296875
11,510.01171875,-5916.61328125
12,875.13671875,-5564.03515625
13,875.63671875,-5570.78125
14,875.63671875,-5570.78125
15,875.63671875,-5570.78125
16,710.40234375,-5660.60546875
17,510.1484375,-5886.08984375
18,510.1484375,-5886.08984375
19,510.1484375,-5886.08984375
20,510.1484375,-5886.08984375
21,875.5234375,-5633.55078125
22,875.7734375,-5617.83203125
23,875.7734375,-5617.83203125
24,875.7734375,-5625.71484375
25,728.54296875,-5680.75
26,510.4140625,-5902.73046875
27,510.4140625,-5902.73046875
28,510.4140625,-5902.73046875
29,510.4140625,-5902.73046875
30,875.5390625,-5615.65234375
31,875.9140625,-5615.16015625
32,875.9140625,-5615.16015625
33,875.9140625,-5615.1640625
34,708.43359375,-5740.5078125
35,510.47265625,-5803.5078125
36,510.47265625,-5803.5078125
37,510.47265625,-5803.5078125
38,510.47265625,-5803.5078125
39,875.84765625,-5653.640625
40,875.96875,-5657.109375
41,875.96875,-5657.109375
42,875.96875,-5657.109375
43,708.6328125,-5831.34765625
44,510.62890625,-6025.53125
45,510.62890625,-6025.53125
46,510.62890625,-6025.53125
47,510.62890625,-6025.53125
48,875.62890625,-5691.2421875
49,875.87890625,-5688.30078125
50,875.87890625,-5688.30078125
51,875.87890625,-5688.31640625
52,710.65234375,-5758.484375
53,510.3984375,-5962.41015625
54,510.3984375,-5962.41015625
55,510.3984375,-5962.41015625
56,510.5234375,-5947.7578125
57,875.7734375,-5629.21875
58,875.8984375,-5637.23046875
59,875.8984375,-5637.23046875
60,875.8984375,-5637.23046875
61,701.67578125,-5637.23046875
62,510.421875,-5809.60546875
63,510.421875,-5809.60546875
64,510.421875,-5809.60546875
65,510.421875,-5809.60546875
66,875.796875,-5529.30859375
67,875.921875,-5526.921875
68,875.921875,-5526.921875
69,875.921875,-5328.8359375
70,728.58203125,-5287.2421875
71,510.453125,-5519.69921875
72,510.453125,-5519.69921875
73,510.453125,-5524.26171875
74,510.453125,-5544.5625
75,875.578125,-5439.234375
76,875.828125,-5439.234375
77,875.828125,-5439.234375
78,875.828125,-5439.234375
79,701.703125,-5552.2265625
80,510.44921875,-5736.24609375
81,510.44921875,-5736.24609375
82,510.44921875,-5736.24609375
83,510.57421875,-5728.625
84,875.82421875,-5455.01953125
85,875.94921875,-5454.35546875
86,875.94921875,-5454.35546875
87,875.94921875,-5454.35546875
88,708.52734375,-5462.0546875
89,510.5234375,-5684.78125
90,510.5234375,-5684.78125
91,510.5234375,-5684.78125
92,510.5234375,-5692.36328125
93,875.7734375,-5533.95703125
94,875.89453125,-5530.88671875
95,875.89453125,-5530.88671875
96,875.89453125,-5530.88671875
97,728.77734375,-5601.60546875
98,510.6484375,-5824.3125
99,510.6484375,-5824.3125
100,510.6484375,-5824.3125
101,510.6484375,-5823.58203125
102,875.8984375,-5577.48828125
103,876.0234375,-5580.33984375
104,876.0234375,-5580.33984375
105,876.0234375,-5580.33984375
106,708.5703125,-5624.25390625
107,510.56640625,-5818.69921875
108,510.56640625,-5818.69921875
109,510.56640625,-5818.69921875
110,510.69140625,-5833.95703125
111,875.81640625,-5537.90625
112,876.06640625,-5537.92578125
113,876.06640625,-5537.92578125
114,876.06640625,-5545.828125
115,728.71484375,-5545.8359375
116,510.5859375,-5663.96875
117,510.5859375,-5663.96875
118,510.5859375,-5663.96875
119,510.5859375,-5663.96875
120,876.0859375,-5465.421875
121,876.2109375,-5465.421875
122,876.2109375,-5465.421875
123,876.2109375,-5461.7265625
124,708.73046875,-5545.84765625
125,510.7265625,-5753.8671875
126,510.7265625,-5753.8671875
127,510.7265625,-5753.8671875
128,510.7265625,-5753.8671875
129,876.1015625,-5527.4765625
130,876.09765625,-5535.59765625
131,876.09765625,-5535.59765625
132,876.09765625,-5535.62109375
133,710.89453125,-5642.26953125
134,510.640625,-5843.3203125
135,510.640625,-5843.3203125
136,510.640625,-5843.3203125
137,510.640625,-5843.3203125
138,875.890625,-5618.9765625
139,876.015625,-5612.60546875
140,876.015625,-5612.60546875
141,876.015625,-5612.60546875
142,692.95703125,-5605.23046875
143,510.703125,-5707.60546875
144,510.703125,-5707.60546875
145,510.703125,-5707.60546875
146,510.828125,-5698.515625
147,875.953125,-5457.609375
148,876.078125,-5457.609375
149,876.078125,-5457.609375
150,876.078125,-5457.61328125
151,728.75390625,-5457.6171875
152,510.625,-5670.2421875
153,510.625,-5670.2421875
154,510.625,-5670.2421875
155,510.625,-5670.2421875
156,876.25,-5433.0078125
157,876.375,-5432.7890625
158,876.375,-5432.7890625
159,876.375,-5432.7890625
160,702.15234375,-5534.3046875
161,510.8984375,-5725.1171875
162,510.8984375,-5725.1171875
163,510.8984375,-5725.1171875
164,510.8984375,-5742.10546875
165,876.2734375,-5557.296875
166,876.2734375,-5557.296875
167,876.2734375,-5557.296875
168,876.2734375,-5565.171875
169,675.0703125,-5697.76953125
170,510.81640625,-5861.77734375
171,510.81640625,-5861.77734375
172,510.81640625,-5861.77734375
173,510.94140625,-5861.77734375
174,876.19140625,-5582.234375
175,876.31640625,-5597.76171875
176,876.31640625,-5597.76171875
177,876.31640625,-5597.76953125
178,702.0859375,-5670.4609375
179,510.8359375,-5670.4609375
180,510.8359375,-5670.4609375
181,510.8359375,-5670.4609375
182,510.9609375,-5689.71484375
183,876.0859375,-5351.83203125
184,876.2109375,-5351.83203125
185,876.2109375,-5351.83203125
186,876.2109375,-5351.83203125
187,684.04296875,-5375.28125
188,510.7890625,-5540.20703125
189,510.7890625,-5540.20703125
190,510.7890625,-5540.20703125
191,510.7890625,-5540.21484375
192,876.0390625,-5353.60546875
193,876.16015625,-5369.35546875
194,876.16015625,-5369.35546875
195,876.16015625,-5369.35546875
196,728.95703125,-5455.7578125
197,510.828125,-5675.16796875
198,510.828125,-5675.16796875
199,510.828125,-5675.171875
200,510.828125,-5675.171875
201,876.078125,-5588.796875
202,876.203125,-5578.7109375
203,876.203125,-5578.7109375
204,876.203125,-5572.8046875
205,728.8671875,-5635.8125
206,510.859375,-5786.72265625
207,510.859375,-5786.72265625
208,510.859375,-5786.72265625
209,510.859375,-5784.06640625
210,876.109375,-5581.53125
211,876.23046875,-5588.7109375
212,876.23046875,-5588.7109375
213,876.23046875,-5588.7109375
214,702.02734375,-5681.1015625
215,510.7734375,-5873.859375
216,510.7734375,-5873.859375
217,510.7734375,-5873.859375
218,510.7734375,-5873.859375
219,876.1484375,-5559.15234375
220,876.2734375,-5561.13671875
221,876.2734375,-5561.13671875
222,876.2734375,-5561.13671875
223,708.828125,-5592.50390625
224,510.82421875,-5803.53515625
225,510.82421875,-5803.53515625
226,510.82421875,-5803.53515625
227,510.94921875,-5819.05078125
228,876.07421875,-5654.1796875
229,876.19921875,-5654.18359375
230,876.19921875,-5654.18359375
231,876.19921875,-5654.1875
232,708.8046875,-5654.1875
233,510.921875,-5772.31640625
234,510.921875,-5772.31640625
235,510.921875,-5772.31640625
236,510.921875,-5771.5859375
237,876.171875,-5546.9453125
238,876.296875,-5543.015625
239,876.296875,-5543.015625
240,876.296875,-5543.015625
241,729.1640625,-5550.8984375
242,511.0625,-5692.6484375
243,511.0625,-5692.6484375
244,511.0625,-5692.6484375
245,511.0625,-5700.5234375
246,876.1875,-5582.65234375
247,876.4375,-5582.66015625
248,876.4375,-5582.66015625
249,876.4375,-5582.66796875
250,639.40625,-5744.06640625
251,511.15234375,-5874.6953125
252,511.15234375,-5874.6953125
253,511.15234375,-5874.6953125
254,511.15234375,-5874.6953125
255,876.27734375,-5627.86328125
256,876.40234375,-5627.64453125
257,876.40234375,-5627.64453125
258,876.40234375,-5632.58984375
259,675.19140625,-5648.26953125
260,510.9375,-5816.09375
261,510.9375,-5816.09375
262,510.9375,-5816.09375
263,511.0625,-5825.9453125
264,876.1875,-5596.59765625
